Text|Chapter
That which can be perceived is not the timeless That.|1
That which can be named is not the nameless One.|1
The source of heaven and earth is without form or substance.|1
Naming creates the ten thousand things.|1
When desire is absent, the mystery is obvious.|1
When desire occurs, creation unfolds.|1
Mystery and creation arise from the same source.|1
The source is emptiness.|1
Void within void.|1
The realm of Tao.|1
Judging beauty creates ugliness.|2
Defining good creates evil.|2
All and void arise together.|2
Hard and soft,|2
long and short,|2
high and low,|2
sound and silence,|2
now and then.|2
Opposites exist because of each other.|2
Therefore the sage acts by not-doing and teaches no-thought.|2
The ten thousand things arise and vanish without him.|2
He works without motive,|2
indifferent to outcome.|2
Because there is no doer,|2
his actions are timeless.|2
Bestowing honor breeds ambitions.|3
Hoarding treasure invites thieves.|3
Displaying objects of desire sows the seeds of discontent.|3
Therefore the sage governs|3
by emptying minds and filling bellies,|3
by weakening wills and strengthening bones.|3
He extols the virtue of desireless unknowing|3
and keeps intellects off balance.|3
When not-doing is accomplished,|3
nothing remains undone.|3
Tao is hollow emptiness.|4
The substance of All,|4
it is absent of substance.|4
Dimensionless Void,|4
it is the source of the ten thousand things.|4
It blunts sharpness,|4
unravels entanglements,|4
diffuses brightness,|4
merges with dust.|4
Dark, invisible, it only seems to be.|4
It is the child of no-thing|4
and the father of God.|4
The realm of heaven and earth is indifferent to the myriad creatures.|5
They appear as straw dogs.|5
The sage is indifferent to the multitudes of men.|5
They appear as straw dogs.|5
The realm of heaven and earth is like a bellows,|5
both empty and full.|5
Moving, it brings forth, endlessly.|5
More words, less understanding.|5
Hold fast to the core.|5
The urge of creation is ceaseless.|6
It is called the Dark Mother.|6
The womb of the Dark Mother|6
is the ground of heaven and earth.|6
Timeless, imperceptible,|6
it continues ever-present.|6
Endless use does not touch it.|6
The realm of heaven and earth is everlasting.|7
Why is it everlasting?|7
Because it is not conscious of itself.|7
Having no thought of being, it never is not.|7
Like this, the sage forgets himself|7
so is always present.|7
Without self-concern,|7
the self is eternal.|7
When self-interest subsides,|7
fulfillment happens.|7
Supreme virtue is like water.|8
It nourishes the ten thousand things without effort|8
and flows in places men shun.|8
It is like Tao.|8
Stand on solid ground.|8
Go deep into the heart.|8
Speak only what is true.|8
In friendship, be kind.|8
In governing, be just.|8
In enterprise, be able.|8
In action, watch the timing.|8
Do not contend with nature and nothing will go wrong.|8
An over-filled cup is difficult to carry.|9
An over-sharp point is easily broken.|9
Fill your house with gold and jade|9
and it cannot be protected.|9
Become puffed with pride|9
and disaster will follow.|9
Do only what needs doing then forget it.|9
This is the way of heaven.|9
While maintaining a body|10
can you become One?|10
While breathing the force of life|10
can you be innocent as a babe?|10
While polishing the dark mirror|10
can you be without dust?|10
While loving and ruling the people|10
can you refrain from action?|10
While coming and going from heaven|10
can you be passive as a woman?|10
Understanding all things|10
can you abide in unknowing?|10
Give birth and nurture.|10
Create without claim.|10
Lead without taking command.|10
This is supreme virtue.|10
Thirty spokes of the wheel converge|11
to define a hole.|11
Clay is molded into pots|11
to shape emptiness.|11
Walls are hammered into rooms|11
to enclosed space.|11
Windows are cut into walls|11
to frame absence.|11
Though things may have value,|11
without no-thing they are useless.|11
The five colors confuse the eye.|12
The five tones deaden the ear.|12
The five flavors dull the palette.|12
Racing and hunting madden the mind.|12
Valuable goods hinder movement.|12
Therefore the sage is guided by his gut, not his senses.|12
He attends to one and ignores the other.|12
Receive honor with dismay.|13
Accept misfortune gratefully.|13
Why receive honor with dismay?|13
Honor and dishonor cause the same disturbance.|13
